[['E', 'V', 'A', 'N', 'S'], ['S', '.', 'O', 'N', 'C'], ['C', 'A', 'N', 'E', 'E'], ['H', 'E', 'I', '.', 'M'], ['E', 'R', 'E', 'D', 'E']]
[['R', 'O', 'V', 'O', '.'], ['A', 'M', 'A', 'C', 'A'], ['M', 'I', 'L', 'E', 'R'], ['I', 'N', 'V', 'A', 'R'], ['.', 'I', 'E', 'N', 'A']]
[['K', 'Y', 'R', 'I', 'E'], ['L', 'O', 'I', 'C', 'I'], ['I', '.', 'D', '.', 'L'], ['N', 'A', 'D', 'I', 'A'], ['E', 'V', 'E', 'R', 'T']]
[['P', '.', 'M', 'T', 'I'], ['I', 'S', 'A', 'I', 'A'], ['L', 'A', 'C', 'E', 'R'], ['A', 'L', 'A', 'N', 'D'], ['F', 'A', 'O', '.', 'E']]
[['B', 'R', 'E', 'N', 'T'], ['.', 'O', 'L', 'O', 'F'], ['W', 'A', 'T', 'E', 'R'], ['E', 'N', 'O', 'S', '.'], ['S', 'O', 'N', 'I', 'O']]
[['I', 'S', 'L', 'A', 'M'], ['C', 'Q', '.', 'D', 'O'], ['T', 'U', 'D', 'O', 'R'], ['U', 'A', '.', 'L', 'A'], ['S', 'W', 'I', 'F', 'T']]
[['B', 'R', 'A', 'M', 'E'], ['E', '.', 'O', 'F', 'F'], ['T', 'A', 'R', 'D', 'E'], ['T', 'A', 'T', '.', 'B'], ['E', 'R', 'A', 'T', 'O']]
[['A', 'F', 'I', 'D', 'I'], ['L', 'L', 'E', 'R', 'A'], ['B', 'Y', '.', 'O', 'L'], ['I', 'N', 'A', 'N', 'E'], ['O', 'N', 'C', 'I', 'A']]
[['X', 'E', '.', 'G', 'S'], ['E', 'R', 'A', 'R', 'I'], ['R', 'O', 'U', 'E', 'N'], ['O', 'S', 'S', 'E', 'A'], ['X', 'O', '.', 'R', 'N']]
[['C', 'E', 'I', 'B', 'A'], ['L', 'U', 'Z', 'O', 'N'], ['A', '.', 'M', '.', 'T'], ['V', 'A', 'I', 'M', 'E'], ['E', 'B', 'R', 'E', 'O']]
[['H', 'O', 'T', 'E', 'L'], ['A', 'V', 'U', 'T', 'I'], ['M', 'V', '.', 'H', 'S'], ['A', 'I', 'R', 'E', 'S'], ['S', 'E', 'L', 'L', 'A']]
[['S', 'E', 'C', '.', 'H'], ['O', 'R', 'A', 'R', 'E'], ['N', 'I', 'T', 'O', 'N'], ['I', 'S', 'T', 'A', 'R'], ['O', '.', 'O', 'R', 'I']]
[['O', 'D', '.', 'J', 'A'], ['R', 'I', 'G', 'O', 'R'], ['I', 'Z', 'M', 'I', 'R'], ['O', 'Z', 'E', 'N', 'A'], ['N', 'Y', '.', 'T', 'S']]
[['S', 'C', 'U', 'S', 'E'], ['D', 'I', 'N', 'G', 'O'], ['.', 'A', 'D', 'E', '.'], ['A', 'N', 'E', 'L', 'A'], ['H', 'O', 'R', 'O', 'S']]
[['T', 'E', 'T', 'R', 'E'], ['I', 'D', 'A', 'H', 'O'], ['Z', 'S', '.', 'E', 'L'], ['I', 'O', 'T', 'T', 'I'], ['A', 'N', 'I', 'T', 'A']]
[['T', 'M', 'E', 'S', 'I'], ['R', 'A', 'D', 'A', 'R'], ['O', 'N', '.', 'V', 'I'], ['C', 'U', 'O', 'I', 'A'], ['O', 'L', 'S', 'E', 'N']]
[['F', 'O', 'G', 'G', '.'], ['I', 'M', 'O', 'L', 'A'], ['D', 'A', 'L', 'E', 'N'], ['A', 'R', 'A', 'B', 'O'], ['.', 'O', 'N', 'A', 'N']]
[['A', 'S', 'O', 'L', 'O'], ['S', 'K', 'A', '.', 'T'], ['P', 'I', 'T', 'T', 'I'], ['R', '.', 'E', 'A', 'T'], ['I', 'S', 'S', 'U', 'E']]
[['S', 'Q', 'U', 'A', 'W'], ['A', 'V', 'V', 'I', 'O'], ['L', '.', 'O', '.', 'R'], ['E', 'P', 'S', 'O', 'M'], ['S', 'T', 'O', 'S', 'S']]
[['G', 'U', 'A', 'I', 'O'], ['H', 'X', '.', 'L', 'R'], ['I', 'M', 'O', 'L', 'A'], ['R', 'A', '.', 'E', 'F'], ['I', 'L', 'A', 'R', 'I']]
[['O', 'T', 'O', 'N', 'E'], ['B', 'H', '.', 'U', 'L'], ['L', 'E', 'N', 'C', 'I'], ['I', 'D', '.', 'H', 'A'], ['O', 'A', 'T', 'E', 'S']]
[['D', 'I', 'R', 'A', 'C'], ['A', 'S', 'A', 'D', 'O'], ['K', 'S', '.', 'D', 'L'], ['A', 'U', 'G', 'I', 'A'], ['R', 'E', 'N', 'I', 'O']]
[['A', 'G', 'A', 'I', 'N'], ['R', 'H', 'O', 'N', 'E'], ['T', '.', 'R', '.', 'I'], ['I', 'N', 'T', 'E', 'L'], ['E', 'M', 'A', 'I', 'L']]
[['F', 'A', 'T', 'W', 'A'], ['.', 'R', 'I', 'A', 'L'], ['S', 'I', 'R', 'I', 'A'], ['T', 'E', 'S', 'T', '.'], ['A', 'L', 'O', 'S', 'E']]
[['C', 'D', 'G', '.', 'R'], ['R', 'I', 'O', 'N', 'I'], ['I', 'S', 'L', 'A', 'M'], ['S', 'C', 'E', 'M', 'A'], ['I', '.', 'M', 'E', 'C']]
[['D', 'R', 'O', 'N', 'I'], ['R', 'I', 'S', 'O', '.'], ['A', 'M', 'A', 'R', 'I'], ['.', 'A', 'R', 'M', 'A'], ['O', 'C', 'E', 'A', 'N']]
[['N', 'I', 'N', 'J', 'A'], ['I', 'U', 'L', 'I', 'O'], ['V', 'L', '.', 'H', 'R'], ['E', 'I', 'L', 'A', 'T'], ['N', 'A', 'N', 'D', 'A']]
[['T', 'A', 'N', '.', 'A'], ['A', 'D', 'O', 'L', 'F'], ['L', 'U', 'N', 'A', 'R'], ['C', 'A', 'N', 'T', 'I'], ['O', '.', 'A', 'O', 'C']]
[['.', 'M', 'I', 'N', 'I'], ['C', 'A', 'N', 'O', 'N'], ['I', 'S', 'A', 'A', 'C'], ['P', 'E', 'R', 'L', 'A'], ['E', 'R', 'I', 'E', '.']]
[['O', 'B', 'E', 'S', 'O'], ['A', 'D', 'O', 'U', 'R'], ['S', '.', 'L', '.', 'M'], ['I', 'R', 'I', 'N', 'A'], ['S', 'L', 'A', 'V', 'I']]
[['S', 'H', 'E', 'L', 'L'], ['P', 'I', 'R', 'A', 'I'], ['A', '.', 'O', '.', 'S'], ['R', 'E', 'S', 'E', 'T'], ['I', 'R', 'I', 'D', 'E']]
[['K', 'F', 'C', '.', 'P'], ['A', 'L', 'O', 'S', 'A'], ['Z', 'A', 'N', 'T', 'E'], ['A', 'N', 'D', 'E', 'S'], ['N', '.', 'E', 'T', 'I']]
[['C', 'L', 'E', 'T', 'O'], ['O', 'A', 'T', 'E', 'S'], ['Q', 'S', '.', 'T', 'C'], ['U', 'S', 'U', 'R', 'A'], ['E', 'U', 'L', 'E', 'R']]
[['I', 'N', 'D', 'R', 'E'], ['S', 'W', 'I', 'F', 'T'], ['T', '.', 'A', '.', 'A'], ['M', 'A', 'R', 'I', 'N'], ['I', 'G', 'I', 'N', 'O']]
[['Z', '.', 'H', 'I', 'P'], ['E', 'D', 'U', 'L', 'E'], ['L', 'O', 'R', 'E', 'N'], ['I', 'D', 'R', 'I', 'E'], ['G', 'I', 'À', '.', 'O']]
[['O', 'K', '.', 'S', 'A'], ['C', 'L', 'I', 'P', 'S'], ['C', 'I', 'V', 'E', 'T'], ['A', 'N', 'I', 'M', 'O'], ['M', 'E', '.', 'E', 'R']]
[['F', 'I', 'E', 'N', 'O'], ['L', 'T', '.', 'O', 'A'], ['I', 'A', 'F', 'E', 'T'], ['R', 'L', '.', 'M', 'E'], ['T', 'E', 'X', 'A', 'S']]
[['H', 'E', 'A', 'V', 'Y'], ['H', 'A', 'N', 'I', 'F'], ['.', 'G', 'T', 'A', '.'], ['A', 'L', 'A', 'L', 'A'], ['S', 'E', 'R', 'I', 'E']]
[['M', 'A', 'S', 'E', 'R'], ['D', 'I', 'B', 'B', 'A'], ['.', 'T', 'O', 'B', '.'], ['F', 'I', 'O', 'R', 'E'], ['H', 'A', 'M', 'A', 'S']]
[['M', 'K', 'S', '.', 'S'], ['I', 'A', 'F', 'E', 'T'], ['U', 'M', 'I', 'D', 'E'], ['R', 'A', 'D', 'A', 'R'], ['A', '.', 'A', 'M', 'I']]
[['S', 'A', 'L', 'C', 'E'], ['U', 'M', 'O', 'R', 'I'], ['.', 'B', 'S', 'I', '.'], ['P', 'I', 'E', 'N', 'I'], ['F', 'O', 'Y', 'E', 'R']]
[['A', 'M', 'E', 'B', 'A'], ['S', '.', 'B', 'N', 'D'], ['S', 'C', 'O', 'P', 'A'], ['A', 'T', 'O', '.', 'N'], ['B', 'E', 'K', 'A', 'A']]
[['E', 'R', 'T', 'E', '.'], ['V', 'A', 'R', 'N', 'A'], ['O', 'T', 'I', 'T', 'I'], ['E', 'T', 'E', 'R', 'A'], ['.', 'E', 'R', 'O', 'S']]
[['B', 'A', 'B', 'A', 'R'], ['T', 'R', 'A', 'S', '.'], ['I', 'U', 'C', 'C', 'A'], ['.', 'B', 'O', 'R', 'A'], ['C', 'A', 'N', 'A', 'I']]
[['V', 'E', 'T', 'T', 'E'], ['L', 'L', 'O', 'Y', 'D'], ['.', 'I', 'R', 'L', '.'], ['O', 'C', 'R', 'E', 'A'], ['N', 'A', 'I', 'R', 'A']]
[['N', 'D', 'O', 'L', 'A'], ['A', 'I', 'A', '.', 'A'], ['I', 'S', 'T', 'A', 'R'], ['V', '.', 'E', 'C', 'O'], ['E', 'S', 'S', 'E', 'N']]
[['A', 'B', 'I', 'E', 'S'], ['M', 'Y', '.', 'M', 'T'], ['E', 'R', 'B', 'A', 'I'], ['N', 'N', '.', 'I', 'M'], ['I', 'E', 'L', 'L', 'A']]
[['I', 'N', 'U', 'I', 'T'], ['D', 'I', 'M', '.', 'I'], ['I', 'O', 'I', 'D', 'E'], ['C', '.', 'D', 'I', 'R'], ['E', 'V', 'A', 'S', 'I']]
[['U', 'M', 'I', 'L', 'I'], ['G', 'P', 'S', '.', 'T'], ['G', 'I', 'O', 'I', 'A'], ['I', '.', 'L', 'E', 'M'], ['A', 'G', 'A', 'M', 'I']]
[['P', '.', 'C', 'A', 'T'], ['E', 'U', 'L', 'E', 'R'], ['T', 'R', 'I', 'T', 'O'], ['R', 'I', 'M', 'A', 'C'], ['A', 'A', 'I', '.', 'O']]
[['I', 'T', 'A', 'C', 'A'], ['Z', '.', 'N', 'O', 'M'], ['M', 'A', 'D', 'I', 'A'], ['I', 'N', 'R', '.', 'T'], ['R', 'I', 'O', 'N', 'E']]
[['J', 'I', 'H', 'A', 'D'], ['U', 'R', '.', 'O', 'I'], ['L', 'E', 'M', 'N', 'O'], ['I', 'N', '.', 'I', 'D'], ['A', 'E', 'R', 'E', 'I']]
[['O', 'R', 'A', 'F', 'I'], ['L', '.', 'M', 'B', 'E'], ['T', 'A', 'M', 'I', 'L'], ['R', 'C', 'A', '.', 'L'], ['E', 'T', 'N', 'E', 'A']]
[['B', 'O', 'A', 'R', 'O'], ['E', 'N', 'M', '.', 'B'], ['M', 'O', 'O', 'R', 'E'], ['B', '.', 'U', 'E', 'S'], ['O', 'C', 'R', 'E', 'A']]
[['S', 'V', '.', 'U', 'M'], ['I', 'R', 'O', 'S', 'A'], ['L', 'A', 'M', 'A', 'S'], ['O', 'T', 'I', 'T', 'E'], ['S', 'A', '.', 'A', 'R']]
[['R', 'I', 'T', 'T', 'E'], ['J', 'A', 'M', 'E', 'S'], ['.', 'L', 'E', 'N', '.'], ['P', 'E', 'S', 'C', 'O'], ['R', 'A', 'I', 'O', 'N']]
[['E', 'W', 'I', 'N', 'G'], ['A', 'T', 'A', '.', 'R'], ['G', 'O', 'R', 'G', 'E'], ['L', '.', 'D', 'E', 'V'], ['E', 'T', 'E', 'R', 'E']]
[['N', 'I', 'S', 'B', 'A'], ['.', 'S', 'I', 'O', 'N'], ['I', 'T', 'A', 'L', 'I'], ['F', 'A', 'N', 'S', '.'], ['A', 'R', 'G', 'O', 'N']]
[['E', 'O', 'L', 'I', 'A'], ['P', 'L', 'I', 'N', '.'], ['L', 'I', 'N', 'D', 'A'], ['.', 'G', 'E', 'R', 'I'], ['M', 'O', 'S', 'E', 'S']]
[['A', 'M', 'E', 'N', 'I'], ['V', 'E', '.', 'O', 'R'], ['A', 'C', 'A', 'R', 'I'], ['N', 'H', '.', 'G', 'D'], ['A', 'E', 'R', 'E', 'I']]
[['P', 'S', 'O', 'A', 'S'], ['C', 'A', 'S', 'T', '.'], ['C', 'I', 'S', 'T', 'I'], ['.', 'N', 'E', 'I', 'L'], ['S', 'T', 'O', 'S', 'S']]
[['I', 'R', 'I', 'A', 'N'], ['T', 'A', 'C', 'I', '.'], ['A', 'G', 'O', 'R', 'A'], ['.', 'I', 'R', 'E', 'S'], ['P', 'A', 'E', 'S', 'I']]
[['D', 'P', '.', 'P', 'S'], ['E', 'R', 'A', 'R', 'I'], ['N', 'O', 'R', 'I', 'E'], ['S', 'L', 'U', 'M', 'P'], ['O', 'E', '.', 'E', 'E']]
[['E', 'O', 'L', 'I', 'E'], ['D', 'D', '.', 'A', 'N'], ['G', 'O', 'L', 'F', 'O'], ['A', 'R', '.', 'E', 'L'], ['R', 'E', 'S', 'T', 'A']]
[['B', 'E', 'F', 'F', 'A'], ['A', 'T', 'R', 'A', '.'], ['G', 'I', 'U', 'R', 'I'], ['.', 'L', 'I', 'S', 'P'], ['V', 'I', 'T', 'A', 'S']]
[['A', 'L', 'E', 'N', 'A'], ['S', 'A', 'B', '.', 'M'], ['S', 'C', 'O', 'L', 'O'], ['A', '.', 'L', 'E', 'U'], ['B', 'L', 'A', 'I', 'R']]
[['S', 'C', 'O', 'P', 'E'], ['A', 'T', 'L', '.', 'A'], ['G', 'E', 'O', 'R', 'G'], ['G', '.', 'N', 'E', 'L'], ['I', 'R', 'A', 'C', 'E']]
[['I', 'R', 'A', 'T', 'E'], ['C', 'A', 'S', 'E', '.'], ['A', 'C', 'C', 'R', 'A'], ['.', 'E', 'R', 'I', 'E'], ['T', 'R', 'A', 'M', 'A']]
[['M', 'D', 'C', '.', 'G'], ['A', 'E', 'R', 'E', 'I'], ['S', 'P', 'A', 'R', 'O'], ['S', 'P', 'I', 'R', 'I'], ['I', '.', 'G', 'O', 'A']]
[['B', 'V', '.', 'O', 'L'], ['R', 'I', 'O', 'N', 'I'], ['I', 'S', 'O', 'L', 'E'], ['A', 'T', 'O', 'U', 'T'], ['N', 'A', '.', 'S', 'O']]
[['H', 'A', 'N', '.', 'M'], ['O', 'L', 'I', 'V', 'I'], ['B', 'O', 'S', 'S', 'O'], ['B', 'E', 'B', 'O', 'P'], ['Y', '.', 'A', 'P', 'E']]
[['I', 'T', 'A', 'L', 'O'], ['V', 'I', '.', 'E', 'S'], ['O', 'A', 'S', 'I', 'S'], ['R', 'S', '.', 'G', 'E'], ['Y', 'O', 'G', 'H', 'I']]
[['E', 'T', 'I', 'C', 'A'], ['.', 'O', 'D', 'O', 'R'], ['S', 'P', 'O', 'L', 'A'], ['K', 'I', 'L', 'O', '.'], ['I', 'C', 'O', 'N', 'A']]
[['R', 'E', 'H', 'A', 'B'], ['A', 'R', 'A', 'C', '.'], ['T', 'R', 'I', 'A', 'S'], ['.', 'O', 'T', 'R', 'E'], ['E', 'L', 'I', 'O', 'T']]
[['C', 'L', 'A', 'U', 'T'], ['A', 'E', 'C', '.', 'H'], ['P', 'A', 'C', 'C', 'A'], ['A', '.', 'R', 'T', 'I'], ['C', 'L', 'A', 'E', 'S']]
[['Y', 'A', 'H', 'O', 'O'], ['T', 'R', 'E', 'N', 'D'], ['.', 'I', 'R', 'E', '.'], ['T', 'A', 'T', 'R', 'A'], ['C', 'L', 'A', 'E', 'S']]
[['S', 'T', 'I', 'P', 'O'], ['O', '.', 'R', 'R', 'R'], ['C', 'L', 'A', 'E', 'S'], ['I', 'S', 'T', '.', 'O'], ['O', 'C', 'E', 'A', 'N']]
[['I', 'N', 'D', 'Y', '.'], ['R', 'A', 'I', 'O', 'N'], ['A', 'D', 'A', 'G', 'I'], ['N', 'A', 'D', 'I', 'R'], ['.', 'R', 'E', 'N', 'O']]
[['C', 'R', 'U', 'D', 'O'], ['S', 'I', 'R', 'E', 'T'], ['.', 'I', 'L', 'L', '.'], ['U', 'N', 'I', 'O', 'N'], ['M', 'A', 'O', 'N', 'A']]
[['E', 'S', 'O', 'S', 'A'], ['T', 'A', 'V', '.', 'M'], ['I', 'R', 'I', 'N', 'A'], ['C', '.', 'L', 'I', 'R'], ['A', 'R', 'E', 'C', 'A']]
[['A', 'N', 'S', 'I', 'A'], ['S', 'O', 'C', '.', 'M'], ['E', 'T', 'E', 'R', 'A'], ['A', '.', 'N', 'A', 'P'], ['N', 'O', 'E', 'M', 'A']]
[['A', 'L', 'G', 'A', '.'], ['D', 'O', 'R', 'M', 'E'], ['R', 'E', 'U', 'M', 'I'], ['O', 'S', 'M', 'A', 'N'], ['.', 'S', 'I', 'N', 'E']]
[['S', 'C', 'E', 'S', 'O'], ['E', 'W', 'I', 'N', 'G'], ['L', '.', 'D', '.', 'L'], ['E', 'D', 'E', 'M', 'I'], ['S', 'O', 'R', 'G', 'O']]
[['E', 'I', 'L', 'A', 'T'], ['S', 'D', 'A', '.', 'E'], ['A', 'S', 'T', 'O', 'R'], ['M', '.', 'I', 'R', 'S'], ['I', 'G', 'N', 'E', 'E']]
[['L', 'E', 'M', 'N', 'O'], ['.', 'L', 'O', 'I', 'R'], ['T', 'E', 'R', 'N', 'O'], ['E', 'N', 'I', 'O', '.'], ['G', 'A', 'N', 'N', 'A']]
[['D', '.', 'T', 'O', 'N'], ['A', 'M', 'A', 'R', 'U'], ['V', 'E', 'R', 'B', 'O'], ['O', 'R', 'L', 'O', 'V'], ['S', 'A', 'O', '.', 'I']]
[['O', 'C', 'C', 'A', 'M'], ['V', 'H', '.', 'D', 'A'], ['V', 'I', 'L', 'A', 'R'], ['I', 'N', '.', 'M', 'I'], ['A', 'A', 'R', 'O', 'N']]
[['S', 'L', 'U', 'M', '.'], ['V', 'I', 'D', 'A', 'L'], ['A', 'D', 'I', 'R', 'E'], ['N', 'A', 'T', 'I', 'A'], ['.', 'R', 'O', 'A', 'R']]
[['L', 'C', 'E', '.', 'B'], ['L', 'A', 'B', 'B', 'O'], ['A', 'M', 'B', 'E', 'R'], ['N', 'O', 'R', 'G', 'E'], ['O', '.', 'A', 'A', 'A']]
[['E', 'P', 'O', 'D', 'O'], ['S', 'O', 'F', 'R', 'I'], ['I', 'K', '.', 'O', 'D'], ['L', 'E', 'O', 'N', 'I'], ['E', 'R', 'B', 'I', 'O']]
[['.', 'A', 'G', 'N', 'O'], ['G', 'R', 'E', 'E', 'N'], ['L', 'E', 'N', 'I', 'N'], ['E', 'N', 'O', 'L', 'A'], ['N', 'E', 'A', 'L', '.']]
[['S', 'E', 'D', 'A', 'N'], ['.', 'B', 'R', 'N', 'O'], ['R', 'O', 'A', 'N', 'I'], ['O', 'L', 'G', 'A', '.'], ['D', 'I', 'A', 'N', 'A']]
[['O', 'C', 'O', 'N', 'E'], ['R', 'E', 'C', 'I', 'T'], ['I', 'S', '.', 'T', 'N'], ['O', 'T', 'I', 'T', 'E'], ['N', 'A', 'D', 'I', 'A']]
[['D', '.', 'T', 'I', 'D'], ['A', 'R', 'E', 'N', 'A'], ['V', 'I', 'S', 'I', 'R'], ['O', 'A', 'T', 'E', 'S'], ['S', 'N', 'A', '.', 'I']]
[['L', 'E', 'S', 'B', 'O'], ['I', '.', 'T', 'B', 'T'], ['B', 'A', 'R', 'B', 'I'], ['R', 'M', 'I', '.', 'T'], ['O', 'N', 'E', 'R', 'I']]
[['N', 'A', 'J', 'A', '.'], ['O', 'N', 'O', 'R', 'I'], ['A', 'D', 'I', 'O', 'S'], ['M', 'E', 'N', 'S', 'E'], ['.', 'S', 'T', 'A', 'R']]
[['V', 'A', 'S', 'T', 'I'], ['S', 'C', 'O', 'O', 'P'], ['.', 'E', 'G', 'R', '.'], ['E', 'R', 'N', 'S', 'T'], ['G', 'I', 'O', 'I', 'A']]
[['O', 'V', 'E', 'S', 'T'], ['C', 'A', 'S', '.', 'A'], ['E', 'S', 'S', 'E', 'N'], ['A', '.', 'E', 'R', 'I'], ['N', 'A', 'X', 'O', 'S']]
[['S', 'I', 'A', 'N', 'G'], ['E', 'O', 'G', '.', 'O'], ['S', 'T', 'I', 'L', 'B'], ['S', '.', 'L', 'O', 'B'], ['A', 'C', 'E', 'T', 'I']]
[['E', 'R', 'I', '.', 'M'], ['R', 'A', 'T', 'E', 'O'], ['E', 'S', 'A', 'N', 'I'], ['D', 'E', 'C', 'O', 'R'], ['E', '.', 'A', 'S', 'E']]
[['S', 'I', 'S', 'M', 'A'], ['P', 'S', 'E', '.', 'R'], ['I', 'O', 'N', 'I', 'O'], ['N', '.', 'O', 'G', 'M'], ['E', 'B', 'R', 'E', 'A']]
[['G', 'A', 'N', '.', 'T'], ['A', 'D', 'O', 'N', 'E'], ['T', 'I', 'T', 'A', 'N'], ['E', 'C', 'A', 'T', 'E'], ['S', '.', 'I', 'A', 'T']]
[['H', 'E', 'N', 'R', 'Y'], ['D', 'R', 'O', 'I', 'T'], ['.', 'A', 'T', 'V', '.'], ['O', 'T', 'T', 'E', 'Y'], ['R', 'O', 'E', 'R', 'O']]
[['I', 'A', '.', 'P', 'N'], ['R', 'E', 'N', 'E', 'E'], ['I', 'R', 'O', 'S', 'E'], ['T', 'E', 'N', 'O', 'R'], ['I', 'E', '.', 'S', 'A']]
[['.', 'E', 'N', 'F', 'I'], ['A', 'L', 'I', 'A', 'S'], ['S', 'T', 'O', 'U', 'T'], ['T', 'O', 'R', 'N', 'O'], ['A', 'N', 'T', 'A', '.']]
[['G', 'O', 'B', 'B', 'E'], ['U', '.', 'E', 'O', 'S'], ['S', 'E', 'L', 'C', 'I'], ['T', 'S', 'L', '.', 'L'], ['I', 'T', 'A', 'M', 'I']]
[['.', 'O', 'L', 'I', 'M'], ['S', 'T', 'E', 'S', 'I'], ['P', 'I', 'N', 'O', 'T'], ['E', 'T', 'I', 'L', 'I'], ['C', 'E', 'N', 'A', '.']]
